Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-data-in-memory-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-data-json-transform,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.17283,6.21118,6.30303
ember-data-jsonapi-extensions,3.75,4.75,5.42857,6.57142,6.57142,7.0,7.0,6.91358,6.95652,6.78787
ember-data-link-traversal,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-live-filter-by,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-data-meta-links-improvements,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-mirage,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-data-model-fragments,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-data-model-proxy,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-data-non-restful-actions,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-data-numerical-date-transform,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.17283,6.21118,6.30303
ember-data-offline,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-partial-model,6.25,6.25,6.42857,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-data-patch-persistance,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-data-peek-relationship,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-data-power-select,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-data-preload,6.25,6.25,7.14285,7.14285,7.14285,6.25,5.625,5.67901,5.65217,5.51515
ember-data-query-first,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-query-path,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.66666
ember-data-route,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.72727
ember-data-sails,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.0909
ember-data-save-relationships,3.75,4.375,5.0,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-data-serializer-1x,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.24223,1.24223,1.45454
ember-data-shim-typings,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-data-slug,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-store-cache,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-data-store-push-improvements,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-storefront,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.15151
ember-data-table,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-data-table-light,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
